session_id,vehicle_number,vehicle_type,slot_number,entry_time,exit_time,duration_minutes,status,hour,minute,day_of_week,is_weekend,is_morning_rush,is_lunch,is_evening_rush,month,day,vehicle_type_num
1,UP80FJ9849,bike,B1,2024-01-01 07:17:12,2024-01-01 11:51:12,274,completed,7,17,0,0,1,0,0,1,1,1
2,UP80LN2982,bike,B2,2024-01-01 07:40:38,2024-01-01 12:02:38,262,completed,7,40,0,0,1,0,0,1,1,1
3,UP80SJ3547,car,C1,2024-01-01 07:50:21,2024-01-01 13:59:21,369,completed,7,50,0,0,1,0,0,1,1,0
4,UP80AT5315,car,C2,2024-01-01 07:53:48,2024-01-01 13:13:48,320,completed,7,53,0,0,1,0,0,1,1,0
5,UP80CX4114,bike,B3,2024-01-01 08:13:52,2024-01-01 12:29:52,256,completed,8,13,0,0,1,0,0,1,1,1
6,UP80FU2674,car,C3,2024-01-01 08:38:00,2024-01-01 12:53:00,255,completed,8,38,0,0,1,0,0,1,1,0
7,UP80QV8527,car,C4,2024-01-01 08:08:34,2024-01-01 15:40:34,452,completed,8,8,0,0,1,0,0,1,1,0
8,UP80RU2307,car,C5,2024-01-01 08:08:00,2024-01-01 15:24:00,436,completed,8,8,0,0,1,0,0,1,1,0
9,UP80WW7227,car,C6,2024-01-01 09:37:20,2024-01-01 17:10:20,453,completed,9,37,0,0,1,0,0,1,1,0
10,UP80KU1320,car,C7,2024-01-01 09:33:07,2024-01-01 16:04:07,391,completed,9,33,0,0,1,0,0,1,1,0
11,UP80AT5315,car,C8,2024-01-01 09:28:49,2024-01-01 16:23:49,415,completed,9,28,0,0,1,0,0,1,1,0
12,UP80HP8753,bike,B4,2024-01-01 09:39:02,2024-01-01 14:23:02,284,completed,9,39,0,0,1,0,0,1,1,1
13,UP80FD2679,bike,B5,2024-01-01 10:33:19,2024-01-01 12:14:19,101,completed,10,33,0,0,0,0,0,1,1,1
14,UP80VL2040,car,C9,2024-01-01 10:25:27,2024-01-01 12:42:27,137,completed,10,25,0,0,0,0,0,1,1,0
15,UP80PT9928,car,C10,2024-01-01 10:45:58,2024-01-01 12:35:58,110,completed,10,45,0,0,0,0,0,1,1,0
16,UP80AT5315,car,C11,2024-01-01 11:08:17,2024-01-01 13:28:17,140,completed,11,8,0,0,0,0,0,1,1,0
17,UP80ZU9317,car,C12,2024-01-01 12:35:45,2024-01-01 13:13:45,38,completed,12,35,0,0,0,1,0,1,1,0
18,UP80VA3615,car,C10,2024-01-01 12:38:27,2024-01-01 13:33:27,55,completed,12,38,0,0,0,1,0,1,1,0
19,UP80UU6573,car,C3,2024-01-01 12:54:41,2024-01-01 13:51:41,57,completed,12,54,0,0,0,1,0,1,1,0
20,UP80DK4598,car,C9,2024-01-01 12:28:56,2024-01-01 13:14:56,46,completed,12,28,0,0,0,1,0,1,1,0
21,UP80LL5557,car,C13,2024-01-01 12:52:29,2024-01-01 13:45:29,53,completed,12,52,0,0,0,1,0,1,1,0
22,UP80QZ4180,bike,B1,2024-01-01 12:16:23,2024-01-01 13:12:23,56,completed,12,16,0,0,0,1,0,1,1,1
23,UP80PT9928,car,C14,2024-01-01 12:59:30,2024-01-01 14:06:30,67,completed,12,59,0,0,0,1,0,1,1,0
24,UP80EQ2876,car,C15,2024-01-01 12:47:23,2024-01-01 13:51:23,64,completed,12,47,0,0,0,1,0,1,1,0
25,UP80UD6096,car,C16,2024-01-01 12:03:37,2024-01-01 12:58:37,55,completed,12,3,0,0,0,1,0,1,1,0
26,UP80GQ7543,car,C2,2024-01-01 13:22:55,2024-01-01 14:30:55,68,completed,13,22,0,0,0,1,0,1,1,0
27,UP80GU2771,car,C3,2024-01-01 13:55:58,2024-01-01 14:39:58,44,completed,13,55,0,0,0,1,0,1,1,0
28,UP80WD3621,bike,B1,2024-01-01 13:36:32,2024-01-01 14:12:32,36,completed,13,36,0,0,0,1,0,1,1,1
29,UP80UU6573,car,C1,2024-01-01 14:14:54,2024-01-01 15:28:54,74,completed,14,14,0,0,0,0,0,1,1,0
30,UP80UD6096,car,C1,2024-01-01 15:36:14,2024-01-01 18:26:14,170,completed,15,36,0,0,0,0,0,1,1,0
31,UP80UU6573,car,C2,2024-01-01 15:49:52,2024-01-01 19:19:52,210,completed,15,49,0,0,0,0,0,1,1,0
32,UP80QV8527,car,C3,2024-01-01 16:53:44,2024-01-01 19:08:44,135,completed,16,53,0,0,0,0,0,1,1,0
33,UP80NV4228,car,C4,2024-01-01 16:17:44,2024-01-01 18:01:44,104,completed,16,17,0,0,0,0,0,1,1,0
34,UP80FN1434,bike,B1,2024-01-01 17:09:36,2024-01-01 18:36:36,87,completed,17,9,0,0,0,0,1,1,1,1
35,UP80FD2679,bike,B2,2024-01-01 17:09:47,2024-01-01 18:49:47,100,completed,17,9,0,0,0,0,1,1,1,1
